id,name,group,role,purpose,components,actions,data,fields,related,workflow,status,image
12,Reports & Scheduled Reporting,reports,Executive / auditor / manager,"Deliver governed financial, operational, compliance, and scheduled reports.","Report catalog, parameter drawer, preview, schedule editor, delivery history",Run; filter; export PDF/CSV; schedule; resend,"Report metadata, parameters, snapshots, delivery status",Period; branch; currency; recipients; schedule,Dashboard; Finance; Analytics; Notifications,Select → Parameterize → Generate → Review → Deliver → Archive,Verified surface,19-Reports/12_reports_scheduled_reporting.png
13,Human Resources & Payroll,hr,HR Manager / employee,Manage the employee lifecycle and payroll-adjacent operations with role separation.,"Employee directory, profile, attendance, leave queue, payroll summary, LMS cards",Onboard; approve leave; review attendance; export payroll,"Employees, departments, leave, attendance, benefits, payroll",Identity; department; contract; leave dates; approval; pay period,Employee Portal; Finance; Documents,Candidate → Onboard → Attend → Leave/Payroll → Review,Verified surface,06-HR/13_human_resources_payroll.png
14,Manufacturing & Work Orders,other,Operations / warehouse manager,"Coordinate BOMs, work orders, quality, maintenance, and material consumption.","BOM table, work-order board, machine status, QC checklist, maintenance log",Release WO; issue materials; record output; inspect; close,"BOMs, work orders, machines, QC, maintenance, outputs",BOM; quantity; machine; operator; inspection; variance,Inventory; Procurement; SCM; Finance,Plan → Release → Consume → Produce → Inspect → Close,Verified surface,20-Other-Modules/14_manufacturing_work_orders.png
15,Supply Chain & Logistics,other,Warehouse Manager / logistics lead,"Track movement of goods, fleet context, route status, and regional distribution.","Shipment board, route map, vehicle status, ETA cards, exception queue",Create shipment; assign route; update status; confirm delivery,"Shipments, routes, drivers, vehicles, ETAs, proof of delivery",Origin; destination; carrier; vehicle; ETA; POD,Fleet; Inventory; Sales; Procurement,Order → Plan → Dispatch → Track → Deliver → Reconcile,Verified surface,20-Other-Modules/15_supply_chain_logistics.png
16,Marketing,other,Sales Manager / marketing lead,"Plan campaigns, segments, messages, and measurable engagement.","Campaign board, audience segments, template preview, performance cards",Create campaign; segment; schedule; pause; review,"Campaigns, audiences, templates, sends, engagement metrics",Name; channel; segment; content; schedule; consent,CRM; Notifications; E-Commerce,Segment → Compose → Approve → Send → Measure,Verified surface,20-Other-Modules/16_marketing.png
17,E-Commerce,other,Sales Manager / store manager,Manage online catalog and orders while respecting stock and payment controls.,"Storefront preview, catalog editor, order queue, checkout status, fulfillment",Publish product; manage order; refund; fulfill,"Products, variants, orders, payments, fulfillment, inventory",SKU; price; image; stock; shipping; payment status,Inventory; Sales; POS; Marketing,Catalog → Cart → Checkout → Payment → Fulfill → Reconcile,Verified surface,20-Other-Modules/17_e_commerce.png
18,Documents & Secure Files,other,All roles with entitlement,"Store, search, preview, and export governed documents and evidence.","Folder tree, search, preview panel, permission badge, evidence timeline",Upload; preview; share; archive; export evidence,"Files, metadata, owners, access, versions, retention",File; category; owner; sensitivity; retention; sharing,Projects; HR; Compliance; Collaboration,Upload → Classify → Review → Share → Archive,Verified surface,20-Other-Modules/18_documents_secure_files.png
19,Projects & Task Management,other,Project Manager / team member,"Plan delivery work with milestones, budgets, files, and accountability.","Portfolio cards, kanban, timeline, milestone panel, task drawer",Create project; assign task; update status; log time; close,"Projects, tasks, milestones, budgets, time logs, dependencies",Title; owner; due date; priority; budget; status,Documents; Procurement; Finance; Collaboration,Initiate → Plan → Execute → Review → Close,Verified surface,20-Other-Modules/19_projects_task_management.png
20,Customer Support & Helpdesk,other,Support agent / manager,"Resolve customer issues with policy, context, and auditable communications.","Ticket queue, SLA badges, conversation panel, knowledge base, customer context",Create ticket; assign; respond; escalate; resolve,"Tickets, messages, SLA, customer history, policy decisions",Subject; category; priority; requester; assignee; SLA,CRM; Collaboration; Documents; Notifications,Intake → Triage → Respond → Escalate → Resolve,Verified surface,20-Other-Modules/20_customer_support_helpdesk.png
21,Enterprise Analytics & Business Intelligence,reports,Executive / analyst / auditor,Explore governed cross-domain metrics and predictive signals.,"Metric catalog, chart grid, filters, cohort table, insight panel",Filter; compare; drill-down; export; annotate,"KPI definitions, dimensions, trends, forecasts, quality flags",Metric; date range; branch; dimension; benchmark,Dashboard; Finance; Operations; AI,Define → Filter → Analyze → Validate → Share,Verified surface,19-Reports/21_enterprise_analytics_business_intelligence.png
22,Notifications & Alerting,other,Admin / manager / user,"Configure and inspect delivery channels, digests, and threshold alerts.","Channel cards, event rules, delivery history, test drawer, digest schedule",Configure; test; enable; suppress; retry,"Channels, templates, events, delivery attempts, status",Channel; endpoint; event; recipient; cooldown; enabled,Integrations; Reports; Settings,Configure → Test → Trigger → Deliver → Audit,Verified surface,20-Other-Modules/22_notifications_alerting.png
23,Activity Stream & Audit Evidence,other,Auditor / owner / compliance,Provide tenant-scoped operational history and exportable evidence.,"Event timeline, filters, actor panel, evidence export, retention state",Filter; inspect; export; archive; acknowledge,"Events, actors, entities, timestamps, request IDs, evidence",Date; actor; event; entity; severity; export range,Every module; Settings,Event → Capture → Filter → Inspect → Export,Verified surface,20-Other-Modules/23_activity_stream_audit_evidence.png
24,Integration Hub,other,Admin / integration owner,Connect external services and monitor verified integration health.,"Connection cards, credential form, webhook endpoint, test result, scopes",Add; rotate; test; disable; replay; inspect logs,"Providers, scopes, endpoints, signatures, delivery state",Provider; base URL; secret; scope; event; retry policy,API integrations; Notifications; Workflow Studio,Register → Authorize → Test → Activate → Monitor,Verified surface,20-Other-Modules/24_integration_hub.png
25,Workflow Studio & Marketplace,other,Admin / process owner,"Compose governed triggers, conditions, and actions without bypassing core controls.","Workflow canvas, trigger palette, condition builder, run history, templates",Create; validate; publish; pause; replay run,"Triggers, actions, versions, runs, failures, approvals",Name; trigger; conditions; action; owner; status,Integration Hub; Notifications; Collaboration,Draft → Validate → Approve → Publish → Execute → Review,Verified surface,20-Other-Modules/25_workflow_studio_marketplace.png
26,Collaboration Hub,other,Team member / manager,"Coordinate chat, email, calendar, workspaces, files, and team presence.","Conversation list, channel composer, calendar, shared workspace, presence badges",Message; schedule; share; mention; search,"Messages, channels, events, files, participants, presence",Channel; recipient; message; attachment; meeting time,Support; Projects; Documents; Notifications,Compose → Send → Deliver → Collaborate → Archive,Verified surface,20-Other-Modules/26_collaboration_hub.png
27,TRA VFD Fiscalization Portal,other,Finance / compliance officer,"Manage Tanzania fiscal receipt, VAT, Z-report, and gateway evidence workflows.","Fiscal dashboard, receipt queue, VAT return panel, Z-report card, gateway status",Fiscalize; retry; preview; export; submit; reconcile,"Receipts, tax lines, VAT returns, gateway responses, audit trail",TIN; buyer; tax code; amount; device; period; status,Sales; POS; Finance; Reports,Sale → Fiscalize → Confirm → Reconcile → Report,Verified surface,20-Other-Modules/27_tra_vfd_fiscalization_portal.png
28,AI Assistant & Smart Intelligence,other,Authorized executive / manager,Surface explainable operational insights and governed recommendations.,"Chat panel, prompt library, evidence citations, recommendation cards, approvals",Ask; inspect evidence; approve; dismiss; export,"Prompt context, result, citations, approval status, telemetry",Question; scope; timeframe; action; approval,Dashboard; Analytics; Workflow Studio,Ask → Retrieve → Explain → Approve/Reject → Record,Verified surface,20-Other-Modules/28_ai_assistant_smart_intelligence.png
29,Microfinance,micro,MFI officer / manager,"Manage client portfolio, lending lifecycle, collections, and MFI reports.","Client registry, loan book, collections queue, PAR cards, product setup",Register client; apply loan; approve; collect; restructure,"Clients, loan products, schedules, repayments, arrears, PAR",Client ID; product; principal; rate; term; guarantor; due date,Bank & MFI; Finance; VICOBA,Client → Application → Assessment → Approval → Disbursement → Collection,Verified surface,09-Microfinance/29_microfinance.png
30,VICOBA / SACCOS,vicoba,Cooperative officer / group leader,"Coordinate group savings, contributions, meetings, member accounts, and cooperative lending.","Group dashboard, member register, savings ledger, meeting board, loan queue",Register member; contribute; withdraw; apply; approve; record meeting,"Members, shares, savings, contributions, loans, meetings, dividends",Member ID; share class; amount; meeting; guarantor; dividend period,Bank & MFI; Community; Finance,Register → Contribute → Meet → Apply → Approve → Repay → Dividend,Verified surface,11-VICOBA-SACCOS/30_vicoba_saccos.png
31,Community Groups,vicoba,Community officer / group manager,"Organize community groups, members, activities, contributions, and governed actions.","Group directory, membership, activity calendar, contribution summary, notices",Create group; add member; schedule; record contribution; report,"Groups, members, activities, contributions, welfare, notices",Group; member; role; activity; amount; purpose,VICOBA; Collaboration; Reports,Form → Approve → Organize → Record → Report,Verified surface,11-VICOBA-SACCOS/31_community_groups.png
32,Healthcare / Clinic,health,Clinic administrator / clinician,Coordinate clinic operations while protecting clinical and financial boundaries.,"Patient directory, appointment board, encounter workspace, clinical tabs, billing gate",Register patient; book visit; record vitals; sign note; bill,"Patients, appointments, encounters, observations, orders, billing",Patient ID; consent; visit; vitals; diagnosis; order; payer,Pharmacy; Finance; Documents,Register → Triage → Encounter → Orders → Sign → Billing,Verified surface,07-Healthcare/32_healthcare_clinic.png
33,School Management,school,School administrator / teacher,"Run learner, admission, fee, academic, and school governance workflows.","Admissions board, learner directory, class view, fee status, communication panel",Admit; assign class; record fee; grade; notify,"Learners, guardians, classes, fees, grades, attendance",Learner; guardian; class; term; fee plan; grade,Finance; Documents; Notifications,Enquiry → Application → Admission → Class → Fee/Academic cycle,Verified surface,12-School/33_school_management.png
34,Pharmacy Management,pharmacy,Pharmacist / pharmacy manager,"Control medicine inventory, prescriptions, dispensing, and audit evidence.","Prescription queue, stock table, dispense drawer, batch/expiry cards, alerts",Verify; dispense; partially fill; adjust; reorder; audit,"Prescriptions, medicines, batches, quantities, expiry, dispensing logs",Prescription; medicine; dose; batch; quantity; prescriber,Healthcare; Inventory; Finance,Prescription → Verify → Dispense → Counsel → Record,Verified surface,08-Pharmacy/34_pharmacy_management.png
35,Hotel & Hospitality,hotel,Hotel manager / front desk,"Manage reservations, guests, rooms, folios, services, and settlement.","Reservation board, room grid, guest profile, folio, housekeeping status",Reserve; check in; add service; check out; settle,"Guests, reservations, rooms, services, folios, payments",Guest; dates; room; rate; deposit; service; status,Finance; Restaurant; Documents,Search → Reserve → Confirm → Check-in → Consume → Check-out,Verified surface,13-Hotel/35_hotel_hospitality.png
36,Fleet Management,fleet,Fleet manager / driver,"Control vehicles, trips, maintenance, fuel, and delivery evidence.","Vehicle board, trip planner, maintenance timeline, fuel cards, driver view",Assign trip; start; log fuel; record maintenance; complete,"Vehicles, drivers, trips, routes, fuel, maintenance, incidents",Vehicle; driver; route; odometer; fuel; date; incident,SCM; Inventory; Finance,Request → Assign → Dispatch → Track → Complete → Reconcile,Verified surface,15-Fleet/36_fleet_management.png
37,Banking & MFI,bank,Institution administrator / branch manager,"Operate accounts, deposits, withdrawals, credit, cash, reconciliation, and financial controls.","Account/customer registry, teller board, loan book, AML alerts, reconciliation",Open account; transact; approve; disburse; collect; reconcile,"Customers, KYC, accounts, journals, loans, cash, AML, audit",Customer ID; KYC; account; amount; product; approval; reference,Microfinance; VICOBA; Finance; Accounting,KYC → Account → Transaction → Approval → Settlement → Reconcile,Verified surface,10-Bank-MFI/37_banking_mfi.png
38,Restaurant & F&B,restaurant,Restaurant manager / cashier,"Manage menu, table service, kitchen flow, bills, and settlement.","Table map, order ticket, kitchen queue, bill panel, stock signal",Open table; order; fire; serve; split bill; close,"Tables, orders, modifiers, kitchen states, bills, payments",Table; items; modifiers; course; tender; status,POS; Inventory; Hotel; Finance,Seat → Order → Kitchen → Serve → Bill → Close,Verified surface,14-Restaurant/38_restaurant_f_b.png
39,Employee Portal,hr,Employee,Give staff a restricted self-service workspace for personal HR tasks.,"Profile card, leave request, attendance, payslip/document panel, notices",Request leave; view attendance; update profile; read notice,"Own profile, leave, attendance, documents, approvals",Dates; reason; contact; attachment; acknowledgement,HR; Documents; Notifications,Open → View → Request → Approve → Notify,Verified surface,06-HR/39_employee_portal.png
40,Enterprise Settings & Security Control Center,settings,Owner / Super Administrator / auditor,"Configure company profile, branding, module entitlements, roles, integrations, and security evidence.","Settings tabs, branding editor, role matrix, webhook controls, audit panels, preferences",Save; upload; assign role; enable module; rotate key; export evidence,"Company, profile, branding, entitlements, roles, webhooks, preferences",Name; TIN; currency; timezone; logo; role; module; timeout,Every module; Integration Hub; Audit,Edit → Validate → Confirm → Persist → Audit → Propagate,Verified surface,18-Settings/40_enterprise_settings_security_control_center.png
